Accession	Name
TIGR03292	phosphonate C-P lyase system protein PhnH
TIGR03293	phosphonate C-P lyase system protein PhnG
TIGR03294	coenzyme F420 hydrogenase subunit gamma
TIGR03295	coenzyme F420 hydrogenase subunit alpha
TIGR03296	M6 family metalloprotease domain
TIGR03297	phosphonopyruvate decarboxylase
TIGR03298	ArgP/LysG family DNA-binding transcriptional regulator
TIGR03299	phage/plasmid-like protein TIGR03299
TIGR03300	outer membrane protein assembly factor BamB
TIGR03301	2-aminoethylphosphonate aminotransferase
TIGR03302	outer membrane protein assembly factor BamD
TIGR03303	outer membrane protein assembly factor BamA
TIGR03305	alternate F1F0 ATPase, F1 subunit beta
TIGR03306	alternate F1F0 ATPase, F0 subunit A
TIGR03307	phosphonate metabolism protein PhnP
TIGR03308	phosphonate metabolim protein, transferase hexapeptide repeat family
TIGR03309	selenium-dependent molybdenum cofactor biosynthesis protein YqeB
TIGR03310	molybdenum cofactor cytidylyltransferase
TIGR03311	selenium-dependent xanthine dehydrogenase
TIGR03312	molybdopterin-dependent oxidoreductase FAD-binding subunit
TIGR03313	molybdopterin-dependent oxidoreductase Mo/Fe-S-binding subunit
TIGR03314	putative selenium metabolism protein SsnA
TIGR03315	putative selenate reductase subunit YgfK
TIGR03316	knotted carbamoyltransferase YgeW
TIGR03317	folate-binding protein YgfZ
TIGR03318	putative selenium delivery protein YdfZ
TIGR03319	ribonuclease Y
TIGR03321	alternate F1F0 ATPase, F0 subunit B
TIGR03322	alternate F1F0 ATPase, F0 subunit C
TIGR03323	alternate F1F0 ATPase, F1 subunit gamma
TIGR03324	alternate F1F0 ATPase, F1 subunit alpha
TIGR03325	cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase
TIGR03326	ribulose bisphosphate carboxylase, type III
TIGR03327	AMP phosphorylase
TIGR03328	methylthioribulose 1-phosphate dehydratase
TIGR03329	putative aminophosphonate oxidoreductase
TIGR03330	adenosylmethionine decarboxylase
TIGR03331	adenosylmethionine decarboxylase
TIGR03332	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
TIGR03333	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
TIGR03334	indolepyruvate ferredoxin oxidoreductase subunit beta
TIGR03335	coenzyme F390 synthetase
TIGR03336	indolepyruvate ferredoxin oxidoreductase subunit alpha
TIGR03337	phosphonate utilization transcriptional regulator PhnR
TIGR03338	phosphonate utilization associated transcriptional regulator
TIGR03339	aminoethylphosphonate catabolism associated LysR family transcriptional regulator
TIGR03340	phosphonate utilization associated putative membrane protein
TIGR03341	Fe-S biogenesis protein NfuA
TIGR03342	TusE/DsrC/DsvC family sulfur relay protein
TIGR03343	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase
TIGR03344	type VI secretion system tube protein TssD/Hcp
TIGR03345	type VI secretion system ATPase TssH
TIGR03346	ATP-dependent chaperone ClpB
TIGR03347	type VI secretion system baseplate subunit TssG
TIGR03348	type VI secretion system membrane subunit TssM
TIGR03349	DotU/TssL family secretion system protein
TIGR03350	type VI secretion system protein TssL C-terminal extension domain
TIGR03351	phosphonatase-like hydrolase
TIGR03352	type VI secretion system lipoprotein TssJ
TIGR03353	type VI secretion system baseplate subunit TssK
TIGR03354	type VI secretion system-associated FHA domain protein TagH
TIGR03355	type VI secretion system contractile sheath large subunit
TIGR03356	GH1 family beta-glucosidase
TIGR03357	type VI secretion system baseplate subunit TssE
TIGR03358	type VI secretion system contractile sheath small subunit
TIGR03359	type VI secretion system baseplate subunit TssF
TIGR03360	type VI secretion system-associated protein VasI
TIGR03361	type VI secretion system tip protein TssI/VgrG N-terminal domain
TIGR03362	type VI secretion system protein TssA
TIGR03363	type VI secretion system protein TssA
TIGR03364	TIGR03364 family FAD-dependent oxidoreductase
TIGR03365	7-carboxy-7-deazaguanine synthase QueE
TIGR03366	putative phosphonate catabolism associated alcohol dehydrogenase
TIGR03367	6-carboxytetrahydropterin synthase QueD
TIGR03368	cellulose biosynthesis protein BcsG
TIGR03369	cellulose biosynthesis protein BcsE
TIGR03370	VPLPA-CTERM protein sorting domain
TIGR03371	cellulose biosynthesis protein BcsQ
TIGR03372	putrescine aminotransferase
TIGR03373	type VI secretion system-associated protein TagF
TIGR03374	aminobutyraldehyde dehydrogenase
TIGR03375	type I secretion system permease/ATPase
TIGR03376	glycerol-3-phosphate dehydrogenase (NAD(+))
TIGR03377	anaerobic glycerol-3-phosphate dehydrogenase subunit GlpA
TIGR03378	anaerobic glycerol-3-phosphate dehydrogenase subunit GlpB
TIGR03379	anaerobic glycerol-3-phosphate dehydrogenase subunit GlpC
TIGR03380	agmatine deiminase
TIGR03381	N-carbamoylputrescine amidase
TIGR03382	MYXO-CTERM domain
TIGR03383	urate oxidase
TIGR03384	transcriptional regulator BetI
TIGR03385	CoA-disulfide reductase
TIGR03388	L-ascorbate oxidase
TIGR03389	laccase
TIGR03390	L-ascorbate oxidase
TIGR03391	cysteine desulfurase sulfur acceptor subunit CsdE
TIGR03392	cysteine desulfurase CsdA
TIGR03393	indolepyruvate decarboxylase
TIGR03394	indolepyruvate/phenylpyruvate decarboxylase
TIGR03395	sphingomyelin phosphodiesterase
TIGR03396	phospholipase C, phosphocholine-specific
TIGR03397	acid phosphatase
TIGR03398	phospholipase C accessory protein PlcR
TIGR03399	RNA 3'-terminal-phosphate cyclase
TIGR03400	18S rRNA biogenesis protein RCL1
TIGR03401	HD domain protein, cyanamide hydratase family
TIGR03402	cysteine desulfurase NifS
TIGR03403	cysteine desulfurase, NifS family
TIGR03404	bicupin, oxalate decarboxylase family
TIGR03405	iron-containing alcohol dehydrogenase PsrA
TIGR03406	putative Fe-S cluster assembly protein SufT
TIGR03407	urea ABC transporter substrate-binding protein
TIGR03408	urea ABC transporter permease subunit UrtC
TIGR03409	urea ABC transporter permease subunit UrtB
TIGR03410	urea ABC transporter ATP-binding subunit UrtE
TIGR03411	urea ABC transporter ATP-binding protein UrtD
TIGR03412	Fe-S cluster assembly protein IscX
TIGR03413	hydroxyacylglutathione hydrolase
TIGR03414	choline ABC transporter substrate-binding protein
TIGR03415	choline ABC transporter ATP-binding protein
TIGR03416	choline ABC transporter permease subunit
TIGR03417	choline-sulfatase
TIGR03418	putative choline sulfate-utilization transcription factor
TIGR03419	Fe-S cluster assembly scaffold protein NifU
TIGR03420	DnaA regulatory inactivator Hda
TIGR03421	iron donor protein CyaY
TIGR03422	frataxin
TIGR03423	penicillin-binding protein 2
TIGR03424	urea carboxylase-associated protein 1
TIGR03425	urea carboxylase-associated protein 2
TIGR03426	rod shape-determining protein MreD
TIGR03427	putative urea ABC transporter substrate-binding protein
TIGR03428	permease, urea carboxylase system
TIGR03429	DMATS family aromatic prenyltransferase
TIGR03430	tryptophan dimethylallyltransferase
TIGR03431	phosphonate ABC transporter substrate-binding protein
TIGR03432	YjhG/YagF family D-xylonate dehydratase
TIGR03433	PadR family transcriptional regulator
TIGR03434	ADOP family duplicated permease
TIGR03435	TIGR03435 family protein
TIGR03436	VWFA-related Acidobacterial domain
TIGR03437	Solibacter uncharacterized C-terminal domain
TIGR03438	L-histidine N(alpha)-methyltransferase
TIGR03439	EasF family methyltransferase
TIGR03440	ergothioneine biosynthesis protein EgtB
TIGR03441	urea transporter
TIGR03442	ergothioneine biosynthesis protein EgtC
TIGR03443	L-aminoadipate-semialdehyde dehydrogenase
TIGR03444	ergothioneine biosynthesis glutamate--cysteine ligase EgtA
TIGR03445	N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase
TIGR03446	mycothiol conjugate amidase Mca
TIGR03447	cysteine--1-D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase
TIGR03448	mycothiol synthase
TIGR03449	D-inositol-3-phosphate glycosyltransferase
TIGR03450	inositol-3-phosphate synthase
TIGR03451	S-(hydroxymethyl)mycothiol dehydrogenase
TIGR03452	mycothione reductase
TIGR03453	plasmid partitioning protein RepA
TIGR03454	plasmid partitioning protein RepB
TIGR03455	ATP phosphoribosyltransferase, C-terminal domain
TIGR03457	sulfoacetaldehyde acetyltransferase
TIGR03458	succinate CoA transferase
TIGR03459	alpha-(1->6)-mannopyranosyltransferase A
TIGR03460	carotene biosynthesis associated membrane protein
TIGR03461	aminodeoxychorismate lyase
TIGR03462	lycopene cyclase domain
TIGR03463	2,3-oxidosqualene cyclase
TIGR03464	squalene synthase HpnC
TIGR03465	presqualene diphosphate synthase HpnD
TIGR03466	hopanoid-associated sugar epimerase
TIGR03467	hydroxysqualene dehydroxylase HpnE
TIGR03468	hopanoid-associated phosphorylase
TIGR03469	hopene-associated glycosyltransferase HpnB
TIGR03470	adenosyl-hopene transferase HpnH
TIGR03471	hopanoid biosynthesis associated radical SAM protein HpnJ
TIGR03472	bacteriohopanetetrol glucosamine biosynthesis glycosyltransferase HpnI
TIGR03473	hopanoid biosynthesis-associated protein HpnK
TIGR03474	incFII family plasmid replication initiator RepA
TIGR03475	RepA leader peptide Tap
TIGR03476	putative membrane protein
TIGR03477	DMSO reductase family type II enzyme, heme b subunit
TIGR03478	DMSO reductase family type II enzyme, iron-sulfur subunit
TIGR03479	DMSO reductase family type II enzyme, molybdopterin subunit
TIGR03480	hopanoid biosynthesis associated RND transporter like protein HpnN
TIGR03481	hopanoid biosynthesis associated membrane protein HpnM
TIGR03482	DMSO reductase family type II enzyme chaperone
TIGR03483	cell division protein FtsZ, alphaProteobacterial C-terminal extension
TIGR03485	type I-MYXAN CRISPR-associated Cas8a1/Cmx1
TIGR03486	CRISPR-associated protein Cas8a1/Csx13, MYXAN subtype, C-terminal region
TIGR03487	type I-PGING CRISPR-associated protein Cas8c/Csp2
TIGR03488	type I-PGING CRISPR-associated protein Cas5p
TIGR03489	type I-PGING CRISPR-associated protein Cas7/Csp1
TIGR03490	LppA family lipoprotein
TIGR03491	TM0106 family RecB-like putative nuclease
TIGR03492	lipid-A-disaccharide synthase-related protein
TIGR03493	cellulose biosynthesis protein BcsF
TIGR03494	salicylate synthase
TIGR03495	Rz-like lysis system protein LysB
TIGR03496	flagellar protein export ATPase FliI
TIGR03497	flagellar protein export ATPase FliI
TIGR03498	flagellar protein export ATPase FliI
TIGR03499	flagellar biosynthesis protein FlhF
TIGR03500	flagellar biosynthetic protein FliO
TIGR03501	GlyGly-CTERM protein-sorting domain
TIGR03502	extracellular lipase, Pla-1/cef family
TIGR03503	TIGR03503 family protein
TIGR03504	FimV/HubP C-terminal domain
TIGR03505	FimV/HubP N-terminal domain
TIGR03506	flagellar hook-basal body complex protein
TIGR03507	OmcA/MtrC family decaheme c-type cytochrome
TIGR03508	DmsE family decaheme c-type cytochrome
TIGR03509	MtrB/PioB family decaheme-associated outer membrane protein
TIGR03510	XapX domain
TIGR03511	gliding motility lipoprotein GldH
TIGR03512	gliding motility lipoprotein GldD
TIGR03513	gliding motility protein GldL
TIGR03514	gliding motility lipoprotein GldB
TIGR03515	gliding motility protein GldC
TIGR03516	gliding motility-associated peptidyl-prolyl isomerase GldI
TIGR03517	gliding motility protein GldM
TIGR03518	gliding motility-associated ABC transporter permease subunit GldF
TIGR03519	PorP/SprF family type IX secretion system membrane protein
TIGR03520	gliding motility-associated protein GldE
TIGR03521	gliding motility-associated ABC transporter substrate-binding protein GldG
TIGR03522	gliding motility-associated ABC transporter ATP-binding subunit GldA
TIGR03523	gliding motility protein GldN
TIGR03524	gliding motility lipoprotein GldJ
TIGR03525	gliding motility lipoprotein GldK
TIGR03526	YgeY family selenium metabolism-linked hydrolase
TIGR03527	sulfurtransferase-like selenium metabolism protein YedF
TIGR03528	diaminopropionate ammonia-lyase
TIGR03529	gliding motility lipoprotein GldK
TIGR03530	gliding motility lipoprotein GldJ
TIGR03531	O-phosphoseryl-tRNA(Sec) selenium transferase
TIGR03532	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
TIGR03533	50S ribosomal protein L3 N(5)-glutamine methyltransferase
TIGR03534	peptide chain release factor N(5)-glutamine methyltransferase
TIGR03535	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR03536	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR03537	succinyldiaminopimelate transaminase
TIGR03538	succinyldiaminopimelate transaminase
TIGR03539	actinobacterial family succinyldiaminopimelate transaminase
TIGR03540	LL-diaminopimelate aminotransferase
TIGR03541	LuxR family transcriptional regulatory, chaperone HchA-associated
TIGR03542	LL-diaminopimelate aminotransferase
TIGR03543	DivIVA domain repeat protein
TIGR03544	DivIVA domain
TIGR03545	TIGR03545 family protein
TIGR03546	TIGR03546 family protein
TIGR03547	YjhT family mutarotase
TIGR03548	cyclically-permuted mutarotase family protein
TIGR03549	OsmC domain/YcaO domain-containing protein
TIGR03550	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase CofG
TIGR03551	5-amino-6-(D-ribitylamino)uracil--L-tyrosine 4-hydroxyphenyl transferase CofH
TIGR03552	2-phospho-L-lactate guanylyltransferase
TIGR03553	F420 biosynthesis protein FbiB, C-terminal domain
TIGR03554	glucose-6-phosphate dehydrogenase (coenzyme-F420)
TIGR03555	5,10-methylenetetrahydromethanopterin reductase
TIGR03556	deoxyribodipyrimidine photo-lyase, 8-HDF type
TIGR03557	TIGR03557 family F420-dependent LLM class oxidoreductase
TIGR03558	MsnO8 family LLM class oxidoreductase
TIGR03559	LLM class F420-dependent oxidoreductase
TIGR03560	TIGR03560 family F420-dependent LLM class oxidoreductase
TIGR03561	Ohr family peroxiredoxin
TIGR03562	OsmC family peroxiredoxin
TIGR03563	SACOL1771 family peroxiredoxin
TIGR03564	TIGR03564 family F420-dependent LLM class oxidoreductase
TIGR03565	FMNH2-dependent alkanesulfonate monooxygenase
TIGR03566	FMN reductase
TIGR03567	NADPH-dependent FMN reductase
TIGR03568	UDP-N-acetylglucosamine 2-epimerase (hydrolyzing)
TIGR03569	N-acetylneuraminate synthase
TIGR03570	NeuD/PglB/VioB family sugar acetyltransferase
TIGR03571	TIGR03571 family LLM class oxidoreductase
TIGR03572	glycosyl amidation-associated protein WbuZ
TIGR03573	N-acetyl sugar amidotransferase
TIGR03574	L-seryl-tRNA(Sec) kinase
TIGR03575	L-seryl-tRNA(Sec) kinase
TIGR03576	TIGR03576 family pyridoxal phosphate-dependent enzyme
TIGR03577	conserved hypothetical protein EF_0830/AHA_3911
TIGR03578	conserved hypothetical protein EF_0831/AHA_3912
TIGR03579	conserved hypothetical protein EF_0833/AHA_3914
TIGR03580	conserved hypothetical protein EF_0832/AHA_3913
TIGR03581	conserved hypothetical protein EF_0839/AHA_3917
TIGR03582	PRD domain protein, EF_0829/AHA_3910 family
TIGR03583	dihydroorotase
TIGR03584	pseudaminic acid cytidylyltransferase
TIGR03585	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase
TIGR03586	pseudaminic acid synthase
TIGR03587	pseudaminic acid biosynthesis-associated methylase
TIGR03588	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase
TIGR03589	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
TIGR03590	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase
TIGR03591	polyribonucleotide nucleotidyltransferase
TIGR03592	membrane protein insertase YidC
TIGR03593	membrane protein insertase, YidC/Oxa1 family, N-terminal domain
TIGR03594	ribosome biogenesis GTPase Der
TIGR03595	Obg family GTPase CgtA C-terminal domain
TIGR03596	ribosome biogenesis GTPase YlqF
TIGR03597	ribosome biogenesis GTPase YqeH
TIGR03598	ribosome biogenesis GTP-binding protein YihA/YsxC
TIGR03599	DAK2 domain fusion protein YloV
TIGR03600	phage replicative helicase, DnaB family
TIGR03601	heterocycloanthracin family bacteriocin
TIGR03602	streptolysin S family TOMM toxin
TIGR03603	thiazole/oxazole-forming peptide maturase, SagC family component
TIGR03604	thiazole/oxazole-forming peptide maturase, SagD family component
TIGR03605	SagB family peptide dehydrogenase
TIGR03606	dehydrogenase, PQQ-dependent, s-GDH family
TIGR03607	patatin-like protein
TIGR03608	putative bacteriocin export ABC transporter
TIGR03609	polysaccharide pyruvyl transferase CsaB
TIGR03610	pyrimidine utilization protein C
TIGR03611	pyrimidine utilization protein D
TIGR03612	pyrimidine utilization protein A
TIGR03613	pyrimidine utilization regulatory protein R
TIGR03614	pyrimidine utilization protein B
TIGR03615	pyrimidine utilization flavin reductase protein F
TIGR03616	pyrimidine utilization transport protein G
TIGR03617	TIGR03617 family F420-dependent LLM class oxidoreductase
TIGR03618	TIGR03618 family F420-dependent PPOX class oxidoreductase
TIGR03619	TIGR03619 family F420-dependent LLM class oxidoreductase
TIGR03620	TIGR03620 family F420-dependent LLM class oxidoreductase
TIGR03621	TIGR03621 family F420-dependent LLM class oxidoreductase
TIGR03622	urea ABC transporter, permease protein UrtB
TIGR03623	probable DNA repair protein
TIGR03624	putative hydrolase
TIGR03625	50S ribosomal protein L3
TIGR03626	50S ribosomal protein L3
TIGR03627	30S ribosomal protein S9
TIGR03628	30S ribosomal protein S11
TIGR03629	30S ribosomal protein S13
TIGR03630	30S ribosomal protein S17
TIGR03631	30S ribosomal protein S13
TIGR03632	30S ribosomal protein S11
TIGR03633	archaeal proteasome endopeptidase complex subunit alpha
TIGR03634	archaeal proteasome endopeptidase complex subunit beta
